Slice,Count,Total Area,Average Size,%Area,Mean
DH_ORE_sd1(f)_OREw(m)_M _Rep1_24_hn_02-1.tif,1,480174,480174.000,61.297,255
DH_ORE_sd1(f)_vg1(m)_F _Rep2_24_hn__04-1.tif,1,344528,344528.000,43.981,255
DH_ORE_sd1(f)_vg1(m)_F _Rep2_24_hn__05-1.tif,1,333769,333769.000,42.607,255
DH_ORE_sd1(f)_OREw(m)_M _Rep1_24_hn_03-1.tif,1,450478,450478.000,57.506,255
DH_ORE_sd1(f)_OREw(m)_M _Rep1_24_hn_01-1.tif,1,36288,36288.000,98.630,255
DH_ORE_sd1(f)_vg1(m)_F _Rep2_24_hn__07-1.tif,2,330368,165184.000,42.173,255
DH_ORE_sd1(f)_vg1(m)_F _Rep2_24_hn__06-1.tif,1,342745,342745.000,43.753,255
DH_ORE_sd1(f)_vg1(m)_F _Rep2_24_hn__02-1.tif,1,345253,345253.000,44.073,255
DH_ORE_sd1(f)_vg1(m)_F _Rep2_24_hn__03-1.tif,2,303628,151814.000,38.760,255
DH_ORE_sd1(f)_vg1(m)_F _Rep2_24_hn__01-1.tif,1,337322,337322.000,43.061,255
DH_ORE_sd1(f)_vgf02736(m)_F_Rep1_24_hn_1-1.tif,1,16716,16716.000,73.938,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep3_24_hn_1-1.tif,1,324081,324081.000,41.371,255
DH_ORE_sd1(f)_vg1(m)_M _Rep2_24_hn__04-1.tif,1,487206,487206.000,62.194,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep3_24_hn_2-1.tif,1,584092,584092.000,74.562,255
DH_ORE_sd1(f)_vg1(m)_F_Rep4_24_hn_2X_1-1.tif,1,652940,652940.000,83.351,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep3_24_hn_3-1.tif,1,472872,472872.000,60.365,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep3_24_hn_2-1.tif,0,0,NaN,0.000,NaN
DH_ORE_sd1(f)_vg2a33(m)_M_Rep3_24_hn_1-1.tif,1,464623,464623.000,59.312,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep3_24_hn_3-1.tif,2,320472,160236.000,40.910,255
DH_ORE_sd1(f)_OREw(m)_F _Rep1_24_hn_01-1.tif,2,335137,167568.500,42.782,255
DH_ORE_sd1(f)_vg1(m)_M _Rep2_24_hn__02-1.tif,1,549028,549028.000,70.086,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep3_24_hn_4-1.tif,1,513387,513387.000,65.537,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep3_24_hn_5-1.tif,1,596862,596862.000,76.193,255
DH_ORE_sd1(f)_vg1(m)_M _Rep2_24_hn__03-1.tif,1,582151,582151.000,74.315,255
DH_ORE_sd1(f)_vg1(m)_M _Rep1_24_hn_01-1.tif,1,567612,567612.000,72.459,255
DH_ORE_sd1(f)_vg1(m)_M _Rep1_24_hn_03-1.tif,1,591411,591411.000,75.497,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep3_24_hn_4-1.tif,1,317677,317677.000,40.553,255
DH_ORE_sd1(f)_OREw(m)_F _Rep1_24_hn_02-1.tif,1,342099,342099.000,43.671,255
DH_ORE_sd1(f)_vg1(m)_M _Rep2_24_hn__01-1.tif,1,584886,584886.000,74.664,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep3_24_hn_6-1.tif,1,472565,472565.000,60.325,255
DH_ORE_sd1(f)_OREw(m)_F _Rep1_24_hn_03-1.tif,1,340547,340547.000,43.473,255
DH_ORE_sd1(f)_vg1(m)_M _Rep1_24_hn_02-1.tif,1,572267,572267.000,73.053,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep4_24_hn_4-1.tif,1,310322,310322.000,39.614,255
DH_ORE_sd1(f)_OREw(m)_F _Rep4_24_hn_01-1.tif,3,319310,106436.667,40.762,255
DH_ORE_sd1(f)_OREw(m)_F _Rep3_24_hn_01-1.tif,3,310478,103492.667,39.634,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep1_24_hn_1-1.tif,1,300297,300297.000,38.334,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep4_24_hn_5-1.tif,1,307345,307345.000,39.234,255
DH_ORE_sd1(f)_OREw(m)_F _Rep4_24_hn_02-1.tif,1,333222,333222.000,42.538,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep4_24_hn_4-1.tif,1,448877,448877.000,57.301,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep1_24_hn_2-1.tif,1,65750,65750.000,90.966,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep1_24_hn_3-1.tif,1,293068,293068.000,37.412,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep4_24_hn_5-1.tif,1,492838,492838.000,62.913,255
DH_ORE_sd1(f)_OREw(m)_F _Rep4_24_hn_03-1.tif,1,339499,339499.000,43.339,255
DH_ORE_sd1(f)_vg2a33(m)_F_Rep4_24_hn_2-1.tif,1,355012,355012.000,45.319,255
DH_ORE_sd1(f)_vg2a33(m)_M_Rep4_24_hn_1-1.tif,1,476736,476736.000,60.858,255
DH_ORE_sd1(f)_vg1(m)_M _Rep4_24_hn__01-1.tif,1,621412,621412.000,79.326,255
