Slice,Count,Total Area,Average Size,%Area,Mean
DH_ORE_sdE3(f)_vgf02736(m)_M _Rep1_24_hn_02-1.tif,1,659129,659129.000,84.141,255
DH_ORE_sdE3(f)_vg1(m)_M _Rep1_24_hn_01-1.tif,1,720795,720795.000,92.013,255
DH_ORE_sdE3(f)_vgf02736(m)_M _Rep1_24_hn_03-1.tif,1,715032,715032.000,91.278,255
DH_ORE_sdE3(f)_OREw(m)_F _Rep1_24_hn_01-1.tif,1,307579,307579.000,39.264,255
DH_ORE_sdE3(f)_vgf02736(m)_M _Rep1_24_hn_01-1.tif,1,703202,703202.000,89.767,255
DH_ORE_sdE3(f)_vg1(m)_M _Rep1_24_hn_02-1.tif,1,713909,713909.000,91.134,255
DH_ORE_sdE3(f)_vgf02736(m)_M _Rep1_24_hn_04-1.tif,1,707141,707141.000,90.270,255
DH_ORE_sdE3(f)_vg2a33(m)_M _Rep1_24_hn_03-1.tif,1,723338,723338.000,92.338,255
DH_ORE_sdE3(f)_vg21-3(m)_F _Rep1_24_hn_01-1.tif,2,254926,127463.000,32.543,255
DH_ORE_sdE3(f)_vg2a33(m)_M _Rep1_24_hn_02-1.tif,1,716583,716583.000,91.476,255
DH_ORE_sdE3(f)_vg2a33(m)_M _Rep1_24_hn_01-1.tif,1,723417,723417.000,92.348,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep1_24_hn_02-1.tif,1,703455,703455.000,89.800,255
DH_ORE_sdE3(f)_vg2a33(m)_F _Rep1_24_hn_01-1.tif,2,289543,144771.500,36.962,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep1_24_hn_01-1.tif,1,732778,732778.000,93.543,255
DH_ORE_sdE3(f)_vg2a33(m)_F _Rep1_24_hn_02-1.tif,2,315519,157759.500,40.278,255
DH_ORE_sdE3(f)_vgf02736(m)_F _Rep1_24_hn_01-1.tif,2,344960,172480.000,44.036,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep1_24_hn_01-1.tif,1,713177,713177.000,91.041,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep1_24_hn_02-1.tif,2,298653,149326.500,38.125,255
DH_ORE_sdE3(f)_vgf02736(m)_F _Rep1_24_hn_02-1.tif,2,285307,142653.500,36.421,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep1_24_hn_02-1.tif,1,717238,717238.000,91.559,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep1_24_hn_01-1.tif,2,276258,138129.000,35.266,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep3_24_hn_01-1.tif,1,699851,699851.000,89.340,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep2_24_hn_04-1.tif,3,289450,96483.333,36.950,255
DH_ORE_sdE3(f)_vgf02736(m)_F _Rep4_24_hn_01-1.tif,2,289354,144677.000,36.938,255
DH_ORE_sdE3(f)_vg2a33(m)_F _Rep2_24_hn_01-1.tif,2,288764,144382.000,36.862,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep4_24_hn_01-1.tif,1,677923,677923.000,86.540,255
DH_ORE_sdE3(f)_vgf02736(m)_F _Rep3_24_hn_01-1.tif,1,307374,307374.000,39.238,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep3_24_hn_03-1.tif,2,283363,141681.500,36.173,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep4_24_hn_04-1.tif,1,690679,690679.000,88.169,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep4_24_hn_03-1.tif,2,296385,148192.500,37.835,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep3_24_hn_04-1.tif,1,718905,718905.000,91.772,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep3_24_hn_05-1.tif,1,714497,714497.000,91.209,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep4_24_hn_02-1.tif,1,311686,311686.000,39.788,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep3_24_hn_02-1.tif,1,306246,306246.000,39.094,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep2_24_hn_02-1.tif,1,718478,718478.000,91.717,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep2_24_hn_05-1.tif,3,305128,101709.333,38.951,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep3_24_hn_02-1.tif,1,703952,703952.000,89.863,255
DH_ORE_sdE3(f)_vgf02736(m)_F _Rep4_24_hn_02-1.tif,1,300674,300674.000,38.383,255
DH_ORE_sdE3(f)_vg2a33(m)_F _Rep2_24_hn_02-1.tif,1,301191,301191.000,38.449,255
DH_ORE_sdE3(f)_vgf02736(m)_F _Rep3_24_hn_02-1.tif,1,309524,309524.000,39.512,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep4_24_hn_01-1.tif,2,316392,158196.000,40.389,255
DH_ORE_sdE3(f)_vg2a33(m)_F _Rep3_24_hn_04-1.tif,2,302190,151095.000,38.576,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep3_24_hn_01-1.tif,3,288830,96276.667,36.871,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep2_24_hn_01-1.tif,1,732694,732694.000,93.532,255
DH_ORE_sdE3(f)_vg2a33(m)_F _Rep2_24_hn_03-1.tif,2,287520,143760.000,36.703,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep3_24_hn_03-1.tif,1,711616,711616.000,90.842,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep2_24_hn_02-1.tif,1,294957,294957.000,37.653,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep3_24_hn_07-1.tif,1,646416,646416.000,82.518,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep4_24_hn_02-1.tif,1,747381,747381.000,95.407,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep3_24_hn_02-1.tif,1,741009,741009.000,94.594,255
DH_ORE_sdE3(f)_vgf02736(m)_F _Rep2_24_hn_01-1.tif,2,285660,142830.000,36.466,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep3_24_hn_03-1.tif,1,708217,708217.000,90.408,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep4_24_hn_04-1.tif,2,334125,167062.500,42.653,255
DH_ORE_sdE3(f)_vg2a33(m)_F _Rep3_24_hn_01-1.tif,1,315177,315177.000,40.234,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep4_24_hn_03-1.tif,1,707653,707653.000,90.336,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep2_24_hn_01-1.tif,1,720498,720498.000,91.975,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep3_24_hn_06-1.tif,1,700474,700474.000,89.419,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep2_24_hn_03-1.tif,2,290177,145088.500,37.043,255
DH_ORE_sdE3(f)_vg1(m)_F _Rep2_24_hn_01-1.tif,2,306690,153345.000,39.151,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep3_24_hn_04-1.tif,1,695305,695305.000,88.759,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep2_24_hn_03-1.tif,1,712495,712495.000,90.954,255
DH_ORE_sdE3(f)_vg2a33(m)_F _Rep3_24_hn_03-1.tif,2,277997,138998.500,35.488,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep4_24_hn_01-1.tif,1,742867,742867.000,94.831,255
DH_ORE_sdE3(f)_vg21-3(m)_M _Rep3_24_hn_01-1.tif,1,701013,701013.000,89.488,255
DH_ORE_sdE3(f)_vg2a33(m)_F _Rep3_24_hn_02-1.tif,2,290181,145090.500,37.043,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep2_24_hn_02-1.tif,1,710742,710742.000,90.730,255
DH_ORE_sdE3(f)_OREw(m)_M _Rep3_24_hn_05-1.tif,1,699483,699483.000,89.293,255
DH_ORE_sdE3(f)_vg21-3(m)_F _Rep3_24_hn_01-1.tif,2,286479,143239.500,36.571,255
DH_ORE_sdE3(f)_vgf02736(m)_M _Rep2_24_hn_03-1.tif,1,717216,717216.000,91.556,255
DH_ORE_sdE3(f)_vg2a33(m)_M _Rep3_24_hn_03-1.tif,1,708785,708785.000,90.480,255
DH_ORE_sdE3(f)_vg21-3(m)_F _Rep4_24_hn_01-1.tif,2,269235,134617.500,34.369,255
DH_ORE_sdE3(f)_OREw(m)_F _Rep2_24_hn_03-1.tif,2,285921,142960.500,36.499,255
DH_ORE_sdE3(f)_vgf02736(m)_M _Rep4_24_hn_04-1.tif,1,712152,712152.000,90.910,255
DH_ORE_sdE3(f)_vg1(m)_M _Rep2_24_hn_01-1.tif,1,725031,725031.000,92.554,255
DH_ORE_sdE3(f)_OREw(m)_F _Rep3_24_hn_04-1.tif,1,304298,304298.000,38.845,255
DH_ORE_sdE3(f)_OREw(m)_F _Rep3_24_hn_05-1.tif,2,311692,155846.000,39.789,255
DH_ORE_sdE3(f)_OREw(m)_F _Rep2_24_hn_02-1.tif,2,326965,163482.500,41.739,255
DH_ORE_sdE3(f)_vg2a33(m)_M _Rep3_24_hn_02-1.tif,1,711232,711232.000,90.792,255
DH_ORE_sdE3(f)_vgf02736(m)_M _Rep2_24_hn_02-1.tif,1,711335,711335.000,90.806,255
DH_ORE_sdE3(f)_vg21-3(m)_F _Rep3_24_hn_02-1.tif,2,286979,143489.500,36.634,255
DH_ORE_sdE3(f)_vg21-3(m)_F _Rep4_24_hn_02-1.tif,2,307237,153618.500,39.220,255
DH_ORE_sdE3(f)_vg1(m)_M _Rep2_24_hn_02-1.tif,1,716948,716948.000,91.522,255
DH_ORE_sdE3(f)_OREw(m)_F _Rep3_24_hn_06-1.tif,2,309447,154723.500,39.503,255
DH_ORE_sdE3(f)_vg1(m)_M _Rep2_24_hn_03-1.tif,1,717903,717903.000,91.644,255
DH_ORE_sdE3(f)_OREw(m)_F _Rep2_24_hn_01-1.tif,1,324491,324491.000,41.423,255
