Slice,Count,Total Area,Average Size,%Area,Mean
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_08-1.tif,1,665865,665865.000,85.001,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_08-1.tif,1,676181,676181.000,86.318,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_05-1.tif,1,323351,323351.000,41.277,255
DH_ORE_sdETX4(f)_vgf02736(m)_F_Rep1_24_hn_01-1.tif,1,296161,296161.000,37.807,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_04-1.tif,1,313144,313144.000,39.974,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep1_24_hn_01-1.tif,1,696069,696069.000,88.857,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_09-1.tif,1,714086,714086.000,91.157,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_09-1.tif,1,673071,673071.000,85.921,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_06-1.tif,1,324905,324905.000,41.476,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep1_24_hn_03-1.tif,1,685575,685575.000,87.517,255
DH_ORE_sdETX4(f)_vgf02736(m)_F_Rep1_24_hn_02-1.tif,1,342033,342033.000,43.662,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_09-1.tif,1,307986,307986.000,39.316,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_04-1.tif,1,681335,681335.000,86.976,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_08-1.tif,1,350502,350502.000,44.743,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep1_24_hn_02-1.tif,1,696846,696846.000,88.956,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_03-1.tif,1,298727,298727.000,38.134,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_01-1.tif,1,697627,697627.000,89.056,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_02-1.tif,1,327742,327742.000,41.838,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_02-1.tif,1,723417,723417.000,92.348,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_03-1.tif,1,684749,684749.000,87.412,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_01-1.tif,1,341462,341462.000,43.589,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep1_24_hn_04-1.tif,1,674414,674414.000,86.092,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_03-1.tif,1,317926,317926.000,40.585,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_03-1.tif,2,333905,166952.500,42.625,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep4_24_hn_03-1.tif,1,325678,325678.000,41.574,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep2_24_hn_04-1.tif,1,318976,318976.000,40.719,255
DH_ORE_sdETX4(f)_vg1(m)_M_Rep2_24_hn_01-1.tif,1,628142,628142.000,80.186,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_04-1.tif,1,370201,370201.000,47.258,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_10-1.tif,1,358965,358965.000,45.824,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_04-1.tif,1,345769,345769.000,44.139,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep3_24_hn_02-1.tif,1,721549,721549.000,92.110,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep3_24_hn_03-1.tif,1,726109,726109.000,92.692,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_05-1.tif,1,323653,323653.000,41.316,255
DH_ORE_sdETX4(f)_vg21-3(m)_F_Rep2_24_hn_01-1.tif,2,284581,142290.500,36.328,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_05-1.tif,2,358367,179183.500,45.747,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep2_24_hn_05-1.tif,1,325075,325075.000,41.498,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep4_24_hn_02-1.tif,1,309679,309679.000,39.532,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_02-1.tif,2,344127,172063.500,43.930,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_02-1.tif,1,342237,342237.000,43.688,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_08-1.tif,1,338978,338978.000,43.272,255
DH_ORE_sdETX4(f)_vg1(m)_M_Rep2_24_hn_02-1.tif,1,706260,706260.000,90.158,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_07-1.tif,1,341992,341992.000,43.657,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep4_24_hn_01-1.tif,1,687956,687956.000,87.821,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_07-1.tif,1,344588,344588.000,43.988,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep3_24_hn_01-1.tif,1,717463,717463.000,91.588,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_06-1.tif,1,316457,316457.000,40.397,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_06-1.tif,1,341299,341299.000,43.569,255
DH_ORE_sdETX4(f)_vg1(m)_M_Rep2_24_hn_03-1.tif,1,724169,724169.000,92.444,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_09-1.tif,1,331300,331300.000,42.292,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep4_24_hn_01-1.tif,1,339728,339728.000,43.368,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_01-1.tif,1,351878,351878.000,44.919,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_01-1.tif,1,316423,316423.000,40.393,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_05-1.tif,1,298992,298992.000,38.168,255
DH_ORE_sdETX4(f)_vg21-3(m)_F_Rep4_24_hn_01-1.tif,2,296687,148343.500,37.874,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep4_24_hn_05-1.tif,1,334000,334000.000,42.637,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep2_24_hn_03-1.tif,1,715058,715058.000,91.281,255
