Slice,Count,Total Area,Average Size,%Area,Mean
DH_SAM_sd1(f)_SAMw(m)_F_Rep3_24_hn_02-1.tif,1,394117,394117.000,50.311,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep4_24_hn_02-1.tif,1,377460,377460.000,48.185,255
DH_SAM_sd1(f)_vg1(m)_M_Rep1_24_hn_8-1.tif,1,492737,492737.000,62.900,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep2_24_hn_05-1.tif,1,340503,340503.000,43.467,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep2_24_hn_01-1.tif,1,453421,453421.000,57.882,255
DH_SAM_sd1(f)_vg1(m)_M_Rep4_24_hn_07-1.tif,1,456825,456825.000,58.316,255
DH_SAM_sd1(f)_vg1(m)_M_Rep3_24_hn_13-1.tif,1,478139,478139.000,61.037,255
DH_SAM_sd1(f)_vg1(m)_M_Rep3_24_hn_07-1.tif,1,497874,497874.000,63.556,255
DH_SAM_sd1(f)_vg1(m)_M_Rep3_24_hn_12-1.tif,1,478916,478916.000,61.136,255
DH_SAM_sd1(f)_vg21-3(m)_M_Rep4_24_hn_04-1.tif,1,487607,487607.000,62.246,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep2_24_hn_04-1.tif,1,354705,354705.000,45.280,255
DH_SAM_sd1(f)_vg1(m)_M_Rep1_24_hn_9-1.tif,1,497493,497493.000,63.508,255
DH_SAM_sd1(f)_vg1(m)_M_Rep2_24_hn_01-1.tif,1,468507,468507.000,59.807,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep3_24_hn_03-1.tif,1,362970,362970.000,46.335,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep3_24_hn_01-1.tif,1,375032,375032.000,47.875,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep4_24_hn_01-1.tif,2,317817,158908.500,40.571,255
DH_SAM_sd1(f)_vg21-3(m)_M_Rep2_24_hn_01-1.tif,1,404040,404040.000,51.578,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep4_24_hn_05-1.tif,1,444330,444330.000,56.721,255
DH_SAM_sd1(f)_vg1(m)_M_Rep2_24_hn_03-1.tif,1,499431,499431.000,63.755,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep2_24_hn_02-1.tif,1,449125,449125.000,57.333,255
DH_SAM_sd1(f)_vg1(m)_M_Rep4_24_hn_04-1.tif,1,541484,541484.000,69.123,255
DH_SAM_sd1(f)_vg1(m)_M_Rep4_24_hn_10-1.tif,1,470055,470055.000,60.005,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep2_24_hn_06-1.tif,1,365395,365395.000,46.645,255
DH_SAM_sd1(f)_vgf02736(m)_F_Rep1_24_hn_04-1.tif,1,360880,360880.000,46.068,255
