Slice,Count,Total Area,Average Size,%Area,Mean
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep1_24_hn_01-1.tif,2,369629,184814.500,47.185,255
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep1_24_hn_02-1.tif,1,462090,462090.000,58.988,255
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep1_24_hn_03-1.tif,2,323129,161564.500,41.249,255
DH_SAM_sdE3(f)_vgf02736(m)_M_Rep1_24_hn_01-1.tif,1,602962,602962.000,76.971,255
DH_SAM_sdE3(f)_vgf02736(m)_M_Rep1_24_hn_02-1.tif,1,576154,576154.000,73.549,255
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep1_24_hn_04-1.tif,1,329735,329735.000,42.092,255
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep1_24_hn_05-1.tif,1,321713,321713.000,41.068,255
DH_SAM_sdE3(f)_vgf02736(m)_F_Rep2_24_hn_03-1.tif,1,341563,341563.000,43.602,255
DH_SAM_sdE3(f)_vgf02736(m)_F_Rep2_24_hn_02-1.tif,2,357511,178755.500,45.638,255
DH_SAM_sdE3(f)_vgf02736(m)_F_Rep2_24_hn_01-1.tif,2,331496,165748.000,42.317,255
DH_SAM_sdE3(f)_vg2a33(m)_F_Rep4_24_hn_02-1.tif,1,325614,325614.000,41.566,255
DH_SAM_sdE3(f)_vg2a33(m)_F_Rep4_24_hn_03-1.tif,2,273980,136990.000,34.975,255
DH_SAM_sdE3(f)_vg2a33(m)_M _Rep1_24_hn_01-1.tif,1,524049,524049.000,66.898,255
DH_SAM_sdE3(f)_vg2a33(m)_F_Rep4_24_hn_01-1.tif,2,298663,149331.500,38.126,255
DH_SAM_sdE3(f)_vgf02736(m)_F_Rep1_24_hn_01-1.tif,1,318680,318680.000,40.681,255
DH_SAM_sdE3(f)_vg2a33(m)_M _Rep2_24_hn_03-1.tif,1,561637,561637.000,71.696,255
DH_SAM_sdE3(f)_vg2a33(m)_M _Rep2_24_hn_02-1.tif,1,567800,567800.000,72.483,255
DH_SAM_sdE3(f)_vg2a33(m)_M _Rep2_24_hn_01-1.tif,1,569255,569255.000,72.668,255
DH_SAM_sdE3(f)_vg2a33(m)_M_Rep3_24_hn_01-1.tif,1,568656,568656.000,72.592,255
DH_SAM_sdE3(f)_vg2a33(m)_M_Rep4_24_hn_01-1.tif,1,534442,534442.000,68.224,255
DH_SAM_sdE3(f)_vgf02736(m)_M_Rep4_24_hn_01-1.tif,1,568880,568880.000,72.621,255
DH_SAM_sdE3(f)_vgf02736(m)_M_Rep3_24_hn_01-1.tif,1,572657,572657.000,73.103,255
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep2_24_hn_01-1.tif,2,344095,172047.500,43.926,255
DH_SAM_sdE3(f)_vg2a33(m)_M_Rep3_24_hn_02-1.tif,1,573407,573407.000,73.198,255
DH_SAM_sdE3(f)_vgf02736(m)_M_Rep4_24_hn_02-1.tif,1,609777,609777.000,77.841,255
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep2_24_hn_03-1.tif,1,422226,422226.000,53.899,255
DH_SAM_sdE3(f)_vgf02736(m)_M_Rep3_24_hn_02-1.tif,1,715438,715438.000,91.329,255
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep2_24_hn_02-1.tif,2,324864,162432.000,41.471,255
DH_SAM_sdE3(f)_vgf02736(m)_M_Rep3_24_hn_03-1.tif,1,581115,581115.000,74.182,255
DH_SAM_sdE3(f)_vg2a33(m)_M_Rep3_24_hn_03-1.tif,1,560477,560477.000,71.548,255
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep3_24_hn_01-1.tif,2,337448,168724.000,43.077,255
DH_SAM_sdE3(f)_vgf02736(m)_M_Rep2_24_hn_01-1.tif,1,537394,537394.000,68.601,255
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep3_24_hn_02-1.tif,2,370322,185161.000,47.274,255
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep2_24_hn_04-1.tif,1,455768,455768.000,58.181,255
DH_SAM_sdE3(f)_vg2a33(m)_F _Rep3_24_hn_03-1.tif,2,339184,169592.000,43.299,255
