Slice,Count,Total Area,Average Size,%Area,Mean
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep3_24_hn_05-1.tif,1,576253,576253,73.562,255
DH_SAM_sdETX4(f)_vgf02736(m)_M _Rep4_24_hn_01-1.tif,1,600364,600364,76.640,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_05-1.tif,1,596348,596348,76.127,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep2_24_hn_01-1.tif,1,560505,560505,71.551,255
DH_SAM_sdETX4(f)_vgf02736(m)_M _Rep3_24_hn_01-1.tif,1,570679,570679,72.850,255
DH_SAM_sdETX4(f)_vg1(m)_M_Rep3_24_hn_01_03-1.tif,1,584040,584040,74.556,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_02-1.tif,1,592995,592995,75.699,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep4_24_hn_06-1.tif,1,563729,563729,71.963,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_03-1.tif,1,587010,587010,74.935,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep4_24_hn_07-1.tif,1,576711,576711,73.620,255
DH_SAM_sdETX4(f)_vg1(m)_M_Rep3_24_hn_01_02-1.tif,1,620412,620412,79.199,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep1_24_hn_01-1.tif,1,532118,532118,67.928,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_04-1.tif,1,631034,631034,80.555,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep3_24_hn_04-1.tif,1,586609,586609,74.884,255
DH_SAM_sdETX4(f)_vg1(m)_M_Rep1_24_hn_04-1.tif,1,723851,723851,92.403,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep3_24_hn_06-1.tif,1,569701,569701,72.725,255
DH_SAM_sdETX4(f)_vgf02736(m)_M _Rep4_24_hn_02-1.tif,1,621983,621983,79.399,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep2_24_hn_02-1.tif,1,565616,565616,72.204,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_06-1.tif,1,582229,582229,74.325,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep1_24_hn_03-1.tif,1,548926,548926,70.073,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep4_24_hn_05-1.tif,1,573993,573993,73.273,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_01-1.tif,1,549830,549830,70.189,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep3_24_hn_05-1.tif,1,595154,595154,75.975,255
DH_SAM_sdETX4(f)_vgf02736(m)_M _Rep2_24_hn_04-1.tif,1,582790,582790,74.396,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep3_24_hn_04-1.tif,1,639085,639085,81.583,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_08-1.tif,1,566568,566568,72.325,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep4_24_hn_04-1.tif,1,581729,581729,74.261,255
DH_SAM_sdETX4(f)_vg1(m)_M_Rep3_24_hn_01_01-1.tif,1,528243,528243,67.433,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep1_24_hn_02-1.tif,1,561071,561071,71.624,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep2_24_hn_03-1.tif,1,513639,513639,65.569,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_07-1.tif,1,619385,619385,79.068,255
DH_SAM_sdETX4(f)_vgf02736(m)_M _Rep4_24_hn_03-1.tif,1,577921,577921,73.775,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep3_24_hn_07-1.tif,1,580788,580788,74.141,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep3_24_hn_03-1.tif,1,596413,596413,76.135,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_03-1.tif,1,583414,583414,74.476,255
DH_SAM_sdETX4(f)_vg1(m)_M_Rep3_24_hn_01_05-1.tif,1,732008,732008,93.445,255
DH_SAM_sdETX4(f)_vgf02736(m)_F_Rep1_24_hn_01-1.tif,1,423952,423952,54.120,255
DH_SAM_sdETX4(f)_vg1(m)_M_Rep4_24_hn_01_01-1.tif,1,577892,577892,73.771,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_04-1.tif,1,556883,556883,71.089,255
